time,open,high,low,close,volume
2025-01-13,65400.00000000001,65500.0,64400.00000000001,65000.0,3672000
2025-01-14,65000.0,65300.0,63700.0,63700.0,3586600
2025-01-15,64500.0,66400.0,64000.0,65800.0,4159100
2025-01-16,66500.0,66500.0,65300.0,66300.0,2458700
2025-01-17,66300.0,66400.0,65700.0,65900.0,1689700
2025-01-20,66000.0,66300.0,65500.0,65500.0,1814200
2025-01-21,65600.0,66400.0,65400.00000000001,65700.0,2258500
2025-01-22,65800.0,66200.0,65200.0,65200.0,2338800
2025-01-23,65300.0,66100.0,65200.0,65400.00000000001,3685200
2025-01-24,65500.0,68000.0,65400.00000000001,68000.0,6680300
2025-02-03,67800.0,68400.0,67000.0,68000.0,4360300
2025-02-04,68100.0,68800.0,68100.0,68600.0,3948000
2025-02-05,68700.0,68700.0,67300.0,67500.0,4852700
2025-02-06,67500.0,68100.0,67200.0,67400.0,2799000
2025-02-07,67700.0,68000.0,67200.0,67700.0,2265600
2025-02-10,67800.0,69700.0,67800.0,68800.0,6909800
2025-02-11,68800.0,68900.0,68100.0,68700.0,2435600
2025-02-12,68700.0,69100.0,68300.0,69000.0,2088500
2025-02-13,68800.0,69000.0,68300.0,68900.0,1824000
2025-02-14,69200.0,69400.0,67800.0,68100.0,2983400
2025-02-17,68100.0,68400.0,66200.0,66400.0,5693000
2025-02-18,66400.0,67200.0,66000.0,66400.0,2602400
2025-02-19,66600.0,67700.0,66600.0,67700.0,3261800
2025-02-20,68000.0,68000.0,67500.0,68000.0,2935400
2025-02-21,68000.0,68000.0,67200.0,67600.0,2315500
2025-02-24,67200.0,67700.0,66800.0,67600.0,3245600
2025-02-25,67800.0,68900.0,67800.0,68400.0,5119200
2025-02-26,68400.0,68600.0,68000.0,68300.0,2082800
2025-02-27,68500.0,69300.0,68200.0,68400.0,4565500
2025-02-28,68400.0,68500.0,67500.0,67700.0,3925400
2025-03-03,67800.0,68400.0,67700.0,68000.0,2758100
2025-03-04,68000.0,69100.0,67400.0,69100.0,5946400
2025-03-05,69300.0,70200.0,68200.0,68200.0,6222600
2025-03-06,68400.0,69200.0,68200.0,69200.0,4342500
2025-03-07,69200.0,70000.0,68400.0,69000.0,4410100
2025-03-10,69000.0,69900.0,68700.0,68900.0,5117800
2025-03-11,68200.0,68900.0,68100.0,68900.0,4533500
2025-03-12,68900.0,69700.0,68700.0,68700.0,4987800
2025-03-13,68700.0,71200.0,68700.0,70400.0,11573600
2025-03-14,70500.0,71900.0,70400.0,71100.0,7301100
2025-03-17,71400.0,71400.0,70300.0,70500.0,4528900
2025-03-18,70700.0,71300.0,69600.0,69600.0,6175200
