time,open,high,low,close,volume
2025-01-13,7800.0,7840.0,7720.0,7800.0,10600838
2025-01-14,7800.0,7840.0,7760.0,7760.0,9055809
2025-01-15,7800.0,7840.0,7760.0,7800.0,5032681
2025-01-16,7840.0,7910.0,7760.0,7800.0,6943881
2025-01-17,7800.0,7870.0,7800.0,7840.0,6911108
2025-01-20,7840.0,7870.0,7800.0,7840.0,5470853
2025-01-21,7870.0,7910.0,7840.0,7840.0,9736173
2025-01-22,7870.0,7870.0,7800.0,7800.0,7150836
2025-01-23,7840.0,7950.0,7800.0,7870.0,9941038
2025-01-24,7910.0,7950.0,7870.0,7910.0,8915089
2025-02-03,7990.0,8100.0,7950.0,8029.999999999999,18132912
2025-02-04,8100.0,8140.000000000001,8029.999999999999,8100.0,13525191
2025-02-05,8140.000000000001,8180.0,8029.999999999999,8029.999999999999,11060633
2025-02-06,8070.0,8140.000000000001,8029.999999999999,8070.0,11602481
2025-02-07,8100.0,8180.0,8070.0,8100.0,13527522
2025-02-10,8100.0,8140.000000000001,8070.0,8100.0,14524814
2025-02-11,8100.0,8370.0,8100.0,8260.0,29843561
2025-02-12,8300.0,8300.0,8180.0,8180.0,7496651
2025-02-13,8180.0,8260.0,8140.000000000001,8260.0,12122791
2025-02-14,8330.0,8410.0,8300.0,8300.0,19447069
2025-02-17,8330.0,8530.0,8300.0,8450.0,29571759
2025-02-18,8450.0,8490.0,8410.0,8410.0,14563216
2025-02-19,8410.0,8490.0,8370.0,8450.0,12381717
2025-02-20,8450.0,8530.0,8410.0,8410.0,16510749
2025-02-21,8450.0,8530.0,8410.0,8450.0,23026866
2025-02-24,8450.0,8600.0,8450.0,8570.0,22499653
2025-02-25,8600.0,8600.0,8450.0,8570.0,30139442
2025-02-26,8650.0,8740.0,8570.0,8610.0,28400819
2025-02-27,8610.0,8650.0,8520.0,8570.0,19455654
2025-02-28,8570.0,8570.0,8510.0,8530.0,16593570
2025-03-03,8570.0,8570.0,8460.0,8460.0,23305321
2025-03-04,8460.0,8530.0,8410.0,8500.0,20534442
2025-03-05,8520.0,8610.0,8510.0,8520.0,16627255
2025-03-06,8570.0,8570.0,8500.0,8530.0,15906656
2025-03-07,8530.0,8610.0,8510.0,8530.0,18718879
2025-03-10,8570.0,8610.0,8520.0,8530.0,19187059
2025-03-11,8480.0,8530.0,8460.0,8520.0,16063385
2025-03-12,8520.0,8570.0,8510.0,8510.0,12853810
2025-03-13,8530.0,8530.0,8480.0,8530.0,22778655
2025-03-14,8570.0,9120.0,8570.0,9120.0,132350595
2025-03-17,9340.0,9720.0,9290.0,9590.0,94613477
2025-03-18,9590.0,9980.0,9460.0,9890.0,72002123
2025-03-19,9810.0,10060.0,9720.0,9930.0,68799966
2025-03-20,9930.0,10150.0,9810.0,10020.0,79905445
2025-03-21,10100.0,10280.0,9930.0,10020.0,74620761
2025-03-24,10020.0,10660.0,9890.0,10570.0,84714383
2025-03-25,10660.0,10740.0,10280.0,10570.0,77645976
2025-03-26,10570.0,10620.0,10360.0,10450.0,43774223
2025-03-27,10450.0,10870.0,10450.0,10830.0,65776537
2025-03-28,10910.0,10910.0,10660.0,10830.0,32399182
2025-03-31,10740.0,10740.0,10400.0,10620.0,56657264
2025-04-01,10620.0,10660.0,10360.0,10620.0,36201795
2025-04-02,10660.0,10830.0,10570.0,10700.0,47067505
2025-04-03,10230.0,10400.0,9980.0,9980.0,74346696
2025-04-04,9340.0,10280.0,9290.0,10280.0,138082581
2025-04-08,10020.0,10020.0,9590.0,9590.0,68979431
2025-04-09,9040.0,9760.0,9040.0,9340.0,63008251
2025-04-10,9980.0,9980.0,9980.0,9980.0,18932429
2025-04-11,10150.0,10360.0,9810.0,10360.0,103462581
2025-04-14,10360.0,10400.0,10190.0,10360.0,47330125
