time,open,high,low,close,volume
2025-01-13,22600.0,23190.0,22550.0,23190.0,7942307
2025-01-14,22940.0,23140.0,22890.0,22990.0,4182199
2025-01-15,23190.0,23280.0,23040.0,23090.0,6721878
2025-01-16,23230.0,23330.0,22990.0,23230.0,8076279
2025-01-17,23230.0,23770.0,23140.0,23770.0,10018863
2025-01-20,23770.0,23870.0,23620.0,23770.0,5186505
2025-01-21,23770.0,23870.0,23530.0,23580.0,8130150
2025-01-22,23820.0,23820.0,23530.0,23580.0,7456929
2025-01-23,23720.0,24210.0,23620.0,23970.0,21074649
2025-01-24,24160.0,24210.0,24010.0,24110.0,10335094
2025-02-03,23870.0,24060.0,23620.0,23620.0,10890445
2025-02-04,23720.0,24060.0,23670.0,24010.0,12474459
2025-02-05,24210.0,24260.0,23920.0,24060.0,9434481
2025-02-06,24260.0,24840.0,24160.0,24550.0,37590102
2025-02-07,24790.0,25130.0,24550.0,25090.0,26592116
2025-02-10,25090.0,25570.0,24790.0,25090.0,22162122
2025-02-11,25430.0,25480.0,25090.0,25230.0,15672911
2025-02-12,25330.0,25330.0,25040.0,25040.0,11529344
2025-02-13,24940.0,25330.0,24890.0,25280.0,11957480
2025-02-14,25430.0,25520.0,25230.0,25330.0,10244176
2025-02-17,25330.0,25430.0,25040.0,25040.0,10977841
2025-02-18,25040.0,25430.0,24990.0,25180.0,10761082
2025-02-19,25280.0,25480.0,25130.0,25430.0,12942381
2025-02-20,25520.0,25910.0,25380.0,25870.0,21186034
2025-02-21,25910.0,25910.0,25720.0,25820.0,8805450
2025-02-24,25720.0,25960.0,25620.0,25820.0,11768135
2025-02-25,25910.0,26110.0,25670.0,25720.0,14503243
2025-02-26,25720.0,25870.0,25620.0,25620.0,9951628
2025-02-27,25720.0,25720.0,25330.0,25570.0,12511301
2025-02-28,25570.0,25620.0,25380.0,25430.0,12223720
2025-03-03,25480.0,25620.0,25380.0,25430.0,9363650
2025-03-04,25430.0,26840.0,25330.0,26790.0,40206252
2025-03-05,26790.0,26890.0,26600.0,26600.0,13275778
2025-03-06,26740.0,26990.0,26640.0,26990.0,12574405
2025-03-07,26990.0,27180.0,26740.0,27030.0,14928909
2025-03-10,27030.0,27570.0,26990.0,27080.0,13915695
2025-03-11,26790.0,27280.0,26740.0,27280.0,15318558
2025-03-12,27380.0,27520.0,27080.0,27130.0,10866364
2025-03-13,27080.0,27080.0,26550.0,26600.0,19002294
2025-03-14,26400.0,26690.0,26400.0,26600.0,10667101
2025-03-17,26640.0,26740.0,26450.0,26740.0,11005682
2025-03-18,26790.0,26890.0,26600.0,26690.0,7949801
2025-03-19,26600.0,26640.0,26450.0,26550.0,12087967
2025-03-20,26790.0,26840.0,26400.0,26740.0,14434800
2025-03-21,26640.0,26840.0,26600.0,26640.0,7451278
2025-03-24,26640.0,27470.0,26500.0,27280.0,21090187
2025-03-25,27380.0,27470.0,27130.0,27180.0,8136084
2025-03-26,27180.0,27760.0,27080.0,27280.0,24097001
2025-03-27,27280.0,27420.0,27030.0,27030.0,7523835
2025-03-28,27030.0,27080.0,26740.0,26840.0,12358157
2025-03-31,26690.0,26790.0,26500.0,26790.0,12987617
2025-04-01,26790.0,27280.0,26690.0,27230.0,9058233
2025-04-02,27280.0,27420.0,27130.0,27180.0,6672520
2025-04-03,26250.0,26500.0,25280.0,25280.0,58920033
2025-04-04,23530.0,25090.0,23530.0,25040.0,56807784
2025-04-08,24360.0,24360.0,23330.0,23330.0,33491013
2025-04-09,21720.0,24260.0,21720.0,22990.0,40806842
2025-04-10,24600.0,24600.0,24600.0,24600.0,1243616
2025-04-11,25820.0,25910.0,24940.0,25910.0,47954875
2025-04-14,25910.0,26010.0,25430.0,25870.0,19913686
2025-04-15,25380.0,25670.0,25130.0,25330.0,21194331
2025-04-16,25480.0,25770.0,25090.0,25130.0,18154970
2025-04-17,24940.0,25330.0,24890.0,25330.0,14263516
2025-04-18,25820.0,25820.0,25330.0,25330.0,16892645
2025-04-21,25330.0,25620.0,24940.0,25090.0,12199203
2025-04-22,24600.0,24990.0,23330.0,24500.0,29540146
2025-04-23,25090.0,25620.0,24500.0,25430.0,18237852
2025-04-24,25330.0,25430.0,25040.0,25090.0,8921844
2025-04-25,25280.0,25380.0,24740.0,25280.0,19496966
2025-04-28,25330.0,25430.0,25130.0,25330.0,11168206
2025-04-29,25330.0,25910.0,25330.0,25620.0,18142313
2025-05-05,25960.0,25960.0,25480.0,25820.0,9053520
2025-05-06,25820.0,26500.0,25720.0,26160.0,24416564
2025-05-07,26160.0,26400.0,25910.0,26300.0,13700056
2025-05-08,26300.0,26740.0,26160.0,26690.0,18389806
2025-05-09,26600.0,27280.0,26550.0,26890.0,18305109
2025-05-12,26940.0,28690.0,26890.0,28640.0,46721231
2025-05-13,28740.0,28930.0,28400.0,28640.0,13217335
2025-05-14,28590.0,29710.0,28540.0,29080.0,19738092
2025-05-15,29130.0,29420.0,28790.0,29130.0,17792339
2025-05-16,29130.0,29130.0,28500.0,28690.0,20039032
2025-05-19,28450.0,29180.0,28350.0,28740.0,20472429
2025-05-20,28740.0,30300.0,28740.0,30150.0,38206067
2025-05-21,30200.0,30590.0,29910.0,30100.0,19495842
2025-05-22,29860.0,30400.0,29520.0,29710.0,28010072
2025-05-23,29760.0,29810.0,29030.0,29370.0,17861747
2025-05-26,29370.0,29570.0,28740.0,29570.0,20234886
2025-05-27,29810.0,30440.0,29570.0,29810.0,23580179
2025-05-28,29910.0,30010.0,29470.0,29710.0,18575774
2025-05-29,29710.0,30010.0,29520.0,30010.0,14716595
2025-05-30,30010.0,30010.0,29660.0,29660.0,9983963
2025-06-02,29620.0,30150.0,29420.0,30050.0,13962518
2025-06-03,30100.0,31080.0,30100.0,30780.0,23869926
2025-06-04,30880.0,30880.0,30400.0,30540.0,15688990
2025-06-05,30540.0,30780.0,30250.0,30300.0,15794425
2025-06-06,30200.0,30200.0,29520.0,29520.0,28368360
2025-06-09,29520.0,29660.0,28980.0,28980.0,20761408
2025-06-10,29180.0,29710.0,29080.0,29270.0,15110402
2025-06-11,29570.0,29570.0,29180.0,29320.0,6095570
2025-06-12,29570.0,30350.0,29470.0,30150.0,24558135
2025-06-13,29910.0,30690.0,29710.0,30400.0,27424234
