time,open,high,low,close,volume
2025-02-17,68910.0,69100.0,68610.0,68610.0,279971
2025-02-18,68610.0,68810.0,68120.0,68320.0,157378
2025-02-19,68420.0,70090.0,68320.0,70090.0,494568
2025-02-20,70380.0,71170.0,69600.0,71170.0,485901
2025-02-21,71270.0,74310.0,71270.0,73630.0,1249380
2025-02-24,73820.0,74900.0,73040.0,73230.0,507322
2025-02-25,73230.0,75590.0,73230.0,75300.0,700345
2025-02-26,75790.0,75790.0,74510.0,75100.0,392402
2025-02-27,75200.0,75200.0,73230.0,74710.0,469858
2025-02-28,74220.0,74610.0,73430.0,74410.0,420684
2025-03-03,74310.0,75200.0,73720.0,74310.0,287829
2025-03-04,74220.0,74710.0,73530.0,74510.0,457730
2025-03-05,74710.0,75100.0,73820.0,73820.0,340074
2025-03-06,73820.0,74410.0,73630.0,73920.0,284868
2025-03-07,73920.0,74710.0,73720.0,73720.0,373514
2025-03-10,73820.0,78840.0,73630.0,78840.0,2437304
2025-03-11,79230.0,80800.0,78250.0,78840.0,527582
2025-03-12,78840.0,80700.0,78540.0,79230.0,828420
2025-03-13,79620.0,79620.0,77260.0,77460.0,577985
2025-03-14,77660.0,78540.0,77360.0,77660.0,658041
2025-03-17,78350.0,80900.0,76870.0,80410.0,1326078
2025-03-18,80900.0,81000.0,79430.0,80410.0,738351
2025-03-19,80410.0,80410.0,78930.0,79330.0,662427
2025-03-20,78740.0,79720.0,76180.0,78150.0,917219
2025-03-21,78640.0,78640.0,76770.0,77360.0,372963
2025-03-24,77360.0,77360.0,75400.0,75990.0,399176
2025-03-25,76380.0,77850.0,76180.0,76770.0,404165
2025-03-26,76770.0,77260.0,76280.0,76670.0,369145
2025-03-27,76670.0,78150.0,76080.0,76080.0,402287
2025-03-28,76380.0,78050.0,76280.0,76280.0,588732
2025-03-31,76280.0,76280.0,73530.0,73530.0,799741
2025-04-01,74710.0,74710.0,73720.0,74610.0,184036
2025-04-02,74610.0,75790.0,73230.0,74310.0,320597
2025-04-03,69200.0,73140.0,69200.0,69200.0,739231
2025-04-04,64390.0,64390.0,64390.0,64390.0,641956
2025-04-08,59960.0,59960.0,59960.0,59960.0,217520
2025-04-09,55830.0,55830.0,55830.0,55830.0,131146
2025-04-10,59670.0,59670.0,59670.0,59670.0,159589
2025-04-11,55540.0,60450.0,55540.0,58690.0,3367348
2025-04-14,62720.0,62720.0,59470.0,59470.0,806738
2025-04-15,59570.0,59570.0,55340.0,55540.0,1164641
2025-04-16,56030.0,56520.0,52590.0,52590.0,790895
2025-04-17,51800.0,52980.0,48950.0,52590.0,927844
2025-04-18,54460.0,54460.0,52890.0,53080.0,491732
2025-04-21,53570.0,54260.0,52100.0,54260.0,495789
2025-04-22,54060.0,54060.0,50530.0,51120.0,1138114
2025-04-23,52790.0,54260.0,50820.0,54060.0,783629
2025-04-24,54060.0,56720.0,54060.0,54560.0,774723
2025-04-25,55340.0,55340.0,53670.0,54850.0,470760
2025-04-28,55050.0,55050.0,53970.0,54750.0,348485
2025-04-29,54750.0,55050.0,53970.0,54060.0,339586
2025-05-05,55050.0,56520.0,54560.0,56520.0,593881
2025-05-06,56920.0,57010.0,55050.0,55050.0,395187
2025-05-07,55740.0,56920.0,55340.0,56130.0,634007
2025-05-08,56330.0,58980.0,56130.0,58980.0,1056104
2025-05-09,58980.0,58980.0,57800.0,58490.0,649890
2025-05-12,58590.0,60450.0,58190.0,60450.0,651046
2025-05-13,61930.0,61930.0,60450.0,60750.0,745361
2025-05-14,60950.0,61440.0,59570.0,61440.0,638548
2025-05-15,60450.0,61440.0,59770.0,59960.0,370094
2025-05-16,59960.0,60160.0,58780.0,59960.0,793545
2025-05-19,59470.0,59860.0,58880.0,59670.0,564802
2025-05-20,59670.0,60850.0,59080.0,59670.0,333343
2025-05-21,59960.0,60160.0,59080.0,59860.0,282050
2025-05-22,59670.0,59670.0,58690.0,58690.0,287821
2025-05-23,58690.0,58980.0,57010.0,57800.0,266535
