time,open,high,low,close,volume,is_ipo
2020-12-10,24720.0,25290.0,24670.0,24810.0,3830860,False
2020-12-11,24780.0,25850.0,24610.0,25850.0,4566950,False
2020-12-14,26050.0,26280.0,25880.0,26250.0,2935490,False
2020-12-15,26080.0,26530.0,25880.0,26020.0,3422380,False
2020-12-16,26020.0,26780.0,26020.0,26760.0,3093050,False
2020-12-17,26420.0,26870.0,26190.0,26190.0,3894580,False
2020-12-18,26360.0,26810.0,26190.0,26530.0,2432540,False
2020-12-21,27040.0,27090.0,26250.0,26780.0,2476240,False
2020-12-22,26780.0,26780.0,26300.0,26440.0,2735230,False
2020-12-23,26530.0,26810.0,26190.0,26300.0,2105620,False
2020-12-24,26300.0,26420.0,24780.0,25680.0,3135180,False
2020-12-25,25680.0,26360.0,25400.0,26300.0,1562900,False
2020-12-28,26500.0,27090.0,26420.0,26780.0,3156280,False
2020-12-29,26760.0,27460.0,26700.0,27290.0,3031270,False
2020-12-30,27320.0,27550.0,27090.0,27120.0,1442160,False
2020-12-31,27120.0,27490.0,26980.0,27490.0,1342380,False
2021-01-04,27410.0,27810.0,27410.0,27690.0,1993800,False
2021-01-05,27490.0,27610.0,27350.0,27490.0,2155700,False
2021-01-06,27720.0,29040.0,27290.0,28010.0,3674500,False
2021-01-07,28010.0,28640.0,27840.0,28070.0,1678500,False
2021-01-08,28300.0,28300.0,27670.0,27840.0,2034900,False
2021-01-11,27840.0,27900.0,27490.0,27690.0,2758800,False
2021-01-12,27690.0,28130.0,27490.0,27980.0,2189300,False
2021-01-13,28010.0,28240.0,27780.0,27810.0,1650200,False
2021-01-14,27840.0,28130.0,27550.0,28040.0,1904800,False
2021-01-15,28300.0,28410.0,28040.0,28040.0,2404700,False
2021-01-18,28070.0,28130.0,27900.0,27920.0,1685100,False
2021-01-19,27900.0,27900.0,25970.0,25970.0,2701100,False
2021-01-20,25970.0,26690.0,24390.0,26120.0,2306500,False
2021-01-21,26170.0,26690.0,25940.0,26690.0,1347000,False
2021-01-22,26690.0,26720.0,25890.0,25970.0,2211800,False
2021-01-25,25830.0,25940.0,25490.0,25600.0,1371900,False
2021-01-26,25460.0,25460.0,23990.0,24420.0,1836800,False
2021-01-27,24420.0,24910.0,23300.0,23710.0,2102100,False
2021-01-28,22390.0,22960.0,22070.0,22070.0,2692000,False
2021-01-29,20950.0,23450.0,20950.0,22900.0,2008200,False
2021-02-01,22900.0,23530.0,22180.0,22440.0,1545000,False
2021-02-02,22330.0,22930.0,22130.0,22590.0,2497300,False
2021-02-03,23020.0,23820.0,22790.0,23730.0,1851900,False
2021-02-04,23760.0,23880.0,23480.0,23820.0,1378500,False
2021-02-05,23820.0,24160.0,23710.0,23990.0,1279600,False
2021-02-08,23990.0,24110.0,22410.0,23020.0,1874900,False
2021-02-09,23250.0,23650.0,22790.0,23420.0,1448500,False
2021-02-17,23450.0,24160.0,23450.0,24160.0,1439000,False
2021-02-18,24220.0,24970.0,23940.0,24910.0,2339700,False
2021-02-19,24680.0,25540.0,24600.0,25310.0,2027200,False
2021-02-22,25310.0,25540.0,25080.0,25110.0,1523800,False
2021-02-23,25110.0,25310.0,24800.0,25260.0,1533100,False
2021-02-24,25200.0,25370.0,24450.0,24710.0,1640000,False
2021-02-25,24910.0,25140.0,24220.0,24650.0,1733200,False
