time,open,high,low,close,volume,is_ipo
2025-02-24,109140.0,110150.0,108590.0,109880.0,111798,False
2025-02-25,109970.0,110430.0,109050.0,109050.0,152947,False
2025-02-26,109140.0,112730.0,109140.0,111540.0,366235,False
2025-02-27,112920.0,113100.0,111170.0,111630.0,161525,False
2025-02-28,111540.0,111540.0,109880.0,110060.0,178124,False
2025-03-03,110060.0,111440.0,109600.0,110150.0,157958,False
2025-03-04,110250.0,111720.0,110150.0,111070.0,216265,False
2025-03-05,111720.0,116050.0,111070.0,115960.0,657610,False
2025-03-06,115590.0,117430.0,115130.0,115960.0,299829,False
2025-03-07,116880.0,116880.0,114210.0,114210.0,242329,False
2025-03-10,114850.0,114850.0,111810.0,112460.0,264426,False
2025-03-11,111630.0,114570.0,110890.0,114480.0,206473,False
2025-03-12,115130.0,115130.0,112820.0,112920.0,125195,False
2025-03-13,113290.0,113290.0,110520.0,110800.0,213192,False
2025-03-14,110710.0,111350.0,108770.0,109600.0,344500,False
2025-03-17,108770.0,110150.0,108770.0,109600.0,125784,False
2025-03-18,110340.0,110980.0,110340.0,110710.0,98571,False
2025-03-19,109790.0,110710.0,109510.0,110060.0,139701,False
2025-03-20,110980.0,110980.0,109420.0,110060.0,61415,False
2025-03-21,110430.0,111810.0,110340.0,111260.0,202369,False
2025-03-24,111350.0,111350.0,110150.0,110520.0,63504,False
2025-03-25,109690.0,110890.0,109690.0,110060.0,98319,False
2025-03-26,110520.0,110520.0,109230.0,109690.0,127812,False
2025-03-27,110340.0,110340.0,109230.0,109600.0,58864,False
2025-03-28,110250.0,115590.0,110060.0,113650.0,438037,False
2025-03-31,113650.0,114210.0,109880.0,109880.0,164381,False
2025-04-01,109880.0,113010.0,109880.0,112820.0,234307,False
2025-04-02,112730.0,113190.0,111440.0,111810.0,108815,False
2025-04-03,109140.0,109600.0,104080.0,104080.0,662082,False
2025-04-04,97170.0,108040.0,97170.0,105640.0,311646,False
2025-04-08,104260.0,104900.0,98270.0,98270.0,446694,False
2025-04-09,92290.0,105090.0,92290.0,105090.0,429910,False
2025-04-10,112360.0,112360.0,111350.0,112360.0,372514,False
2025-04-11,111260.0,115310.0,109880.0,114940.0,506123,False
2025-04-14,114850.0,116230.0,113010.0,114940.0,248752,False
2025-04-15,114210.0,117710.0,112920.0,114210.0,355079,False
2025-04-16,113100.0,119360.0,112820.0,118630.0,612617,False
2025-04-17,116970.0,124340.0,116970.0,123880.0,639380,False
2025-04-18,125350.0,127560.0,119090.0,119550.0,759190,False
2025-04-21,119550.0,124890.0,118900.0,123320.0,489287,False
2025-04-22,122030.0,124340.0,116050.0,124340.0,583975,False
2025-04-23,126640.0,133000.0,124340.0,133000.0,844226,False
2025-04-24,133090.0,134470.0,129960.00000000001,132170.0,254520,False
2025-04-25,132170.0,132630.0,129030.0,131430.0,284641,False
2025-04-28,131340.0,131340.0,127560.0,130229.99999999999,171662,False
2025-04-29,130509.99999999999,135390.0,130509.99999999999,133180.0,252338,False
2025-05-05,133550.0,133550.0,130780.0,133550.0,164533,False
2025-05-06,134470.0,134470.0,132530.0,132630.0,123602,False
2025-05-07,131980.0,137140.0,131980.0,132350.0,178254,False
2025-05-08,133550.0,133550.0,131340.0,132630.0,197360,False
2025-05-09,132630.0,135390.0,131710.0,135300.0,207654,False
2025-05-12,135300.0,135390.0,133550.0,135210.0,116504,False
2025-05-13,136310.0,139440.0,134930.0,139170.0,267692,False
2025-05-14,141380.0,141380.0,137230.0,139070.0,184537,False
2025-05-15,137510.0,138980.0,137230.0,137230.0,129174,False
2025-05-16,137140.0,137140.0,134750.0,135210.0,146333,False
2025-05-19,135260.0,138530.0,134680.0,135640.0,205204,False
2025-05-20,135640.0,140360.0,135640.0,138530.0,207381,False
2025-05-21,140450.0,140450.0,134680.0,136800.0,156072,False
2025-05-22,136800.0,138530.0,129870.0,132760.0,375654,False
2025-05-23,132370.0,137850.0,132370.0,137370.0,380787,False
2025-05-26,139010.0,142380.0,136890.0,137280.0,227205,False
2025-05-27,137660.0,139300.0,136600.0,137180.0,207767,False
2025-05-28,137280.0,137570.0,134390.0,135060.0,180356,False
2025-05-29,135060.0,135160.0,133040.0,133040.0,188443,False
2025-05-30,133040.0,134010.0,131790.0,131790.0,171950,False
2025-06-02,131790.0,131790.0,129870.0,130449.99999999999,170180,False
2025-06-03,130449.99999999999,134680.0,130350.0,134300.0,149233,False
2025-06-04,134300.0,134870.0,132560.0,132760.0,116698,False
2025-06-05,132280.0,132560.0,130539.99999999999,130539.99999999999,170424,False
2025-06-06,130539.99999999999,132850.0,130539.99999999999,131890.0,120157,False
2025-06-09,129870.0,131120.0,128039.99999999999,128039.99999999999,254494,False
2025-06-10,128039.99999999999,129970.0,128039.99999999999,128910.0,77517,False
2025-06-11,130160.0,130160.0,128620.0,128910.0,97799,False
2025-06-12,128430.0,132470.0,128430.0,131310.0,273860,False
