time,open,high,low,close,volume,is_ipo
2020-12-09,14470.0,14700.0,14390.0,14550.0,3087880,False
2020-12-10,14670.0,14820.0,14280.0,14280.0,3336500,False
2020-12-11,14280.0,14550.0,14200.0,14550.0,1433840,False
2020-12-14,14590.0,14700.0,14470.0,14550.0,1492510,False
2020-12-15,14550.0,15050.0,14470.0,14940.0,4930800,False
2020-12-16,14940.0,15210.0,14940.0,15050.0,3338060,False
2020-12-17,14980.0,15130.0,14590.0,15130.0,3793300,False
2020-12-18,14820.0,15090.0,14780.0,15050.0,2064580,False
2020-12-21,15050.0,15090.0,14820.0,14940.0,1470660,False
2020-12-22,14820.0,14980.0,14700.0,14900.0,2084210,False
2020-12-23,15090.0,15750.0,15050.0,15440.0,3477530,False
2020-12-24,15600.0,15600.0,14740.0,15360.0,1891980,False
2020-12-25,15480.0,15480.0,15050.0,15320.0,2237520,False
2020-12-28,15360.0,15440.0,15170.0,15360.0,2781610,False
2020-12-29,15440.0,16410.0,15320.0,16410.0,6300720,False
2020-12-30,16950.0,17110.0,16720.0,16920.0,4896470,False
2020-12-31,16610.0,16920.0,16450.0,16610.0,2085320,False
2021-01-04,16640.0,17650.0,16370.000000000002,17190.0,4148000,False
2021-01-05,16920.0,17300.0,16880.0,17300.0,2334900,False
2021-01-06,17380.0,17850.0,17070.0,17300.0,3335800,False
2021-01-07,17190.0,17380.0,16990.0,17230.0,3062000,False
2021-01-08,17300.0,17500.0,17070.0,17300.0,3066400,False
2021-01-11,17420.0,18390.0,17150.0,18390.0,4111700,False
2021-01-12,18230.0,18930.0,17920.0,18860.0,3809100,False
2021-01-13,19170.0,19170.0,18430.0,18740.0,3622300,False
2021-01-14,18310.0,18580.0,18000.0,18550.0,3718700,False
2021-01-15,18470.0,18550.0,18270.0,18510.0,2454700,False
2021-01-18,18550.0,18550.0,18160.0,18270.0,2663100,False
2021-01-19,18080.0,18230.0,17030.0,17850.0,3161400,False
2021-01-20,17460.0,17850.0,16640.0,17850.0,1745000,False
2021-01-21,18000.0,18160.0,17460.0,18160.0,1826100,False
2021-01-22,18080.0,18390.0,17920.0,18000.0,2298500,False
2021-01-25,18080.0,18080.0,17650.0,17690.0,1873200,False
2021-01-26,17690.0,17770.0,16490.0,16990.0,2382100,False
2021-01-27,16990.0,17340.0,15980.0,16990.0,2292800,False
2021-01-28,16140.0,16290.0,15830.0,15830.0,3834100,False
