time,open,high,low,close,volume,is_ipo
2020-11-30,3550.0,3610.0,3610.0,3610.0,0,False
2020-12-01,3550.0,3610.0,3610.0,3610.0,0,False
2020-12-02,3100.0,3100.0,3100.0,3100.0,1200,False
2020-12-03,2880.0,2880.0,2880.0,2880.0,700,False
2020-12-04,3270.0,3270.0,3270.0,3270.0,100,False
2020-12-07,3270.0,3270.0,3270.0,3270.0,0,False
2020-12-08,3270.0,3270.0,3270.0,3270.0,0,False
2020-12-09,3270.0,3270.0,3270.0,3270.0,0,False
2020-12-10,3380.0,3380.0,3380.0,3380.0,1600,False
2020-12-11,3610.0,3610.0,2930.0,2930.0,3500,False
2020-12-14,2990.0,3440.0,2990.0,3440.0,6100,False
2020-12-15,3440.0,3440.0,3440.0,3440.0,0,False
2020-12-16,3440.0,3440.0,3440.0,3440.0,5400,False
2020-12-17,3440.0,3610.0,3440.0,3610.0,400,False
2020-12-18,3550.0,3610.0,3610.0,3610.0,0,False
2020-12-21,3550.0,3550.0,3550.0,3550.0,3600,False
2020-12-22,3270.0,3610.0,3220.0,3550.0,6680,False
2020-12-23,3670.0,3670.0,3670.0,3670.0,3100,False
2020-12-24,3720.0,3780.0,3720.0,3780.0,2500,False
2020-12-25,3780.0,3780.0,3780.0,3780.0,910,False
2020-12-28,3780.0,3890.0,3780.0,3890.0,5500,False
2020-12-29,3890.0,4400.0,3890.0,4400.0,14810,False
2020-12-30,4400.0,4630.0,4400.0,4510.0,9900,False
2020-12-31,4510.0,4510.0,4510.0,4510.0,1100,False
2021-01-04,4790.0,5080.0,4790.0,5080.0,3500,False
2021-01-05,4850.0,4850.0,4850.0,4850.0,1000,False
2021-01-06,4740.0,5250.0,4170.0,5080.0,16000,False
2021-01-07,4850.0,4850.0,4850.0,4850.0,400,False
2021-01-08,5470.0,5530.0,5360.0,5530.0,14600,False
2021-01-11,5640.0,6320.0,5640.0,6320.0,17470,False
2021-01-12,6430.0,6770.0,6210.0,6430.0,7400,False
2021-01-13,6430.0,6430.0,6150.0,6150.0,6200,False
2021-01-14,5640.0,6210.0,5530.0,6210.0,16910,False
2021-01-15,5640.0,5640.0,5130.0,5130.0,26500,False
2021-01-18,5250.0,5360.0,5190.0,5190.0,4500,False
2021-01-19,5530.0,5530.0,4570.0,4790.0,10600,False
2021-01-20,5080.0,5080.0,4960.0,5080.0,3900,False
2021-01-21,5080.0,5190.0,4850.0,5190.0,6300,False
2021-01-22,5080.0,5130.0,5020.0,5130.0,3000,False
2021-01-25,5130.0,5130.0,4790.0,4850.0,4200,False
2021-01-26,4850.0,4850.0,4850.0,4850.0,2100,False
2021-01-27,4850.0,4850.0,4850.0,4850.0,0,False
2021-01-28,4850.0,4850.0,4850.0,4850.0,0,False
