time,open,high,low,close,volume,is_ipo
2020-12-09,5360.0,5390.0,5180.0,5250.0,913500,False
2020-12-10,5310.0,5310.0,5060.0,5090.0,1453980,False
2020-12-11,5090.0,5180.0,5000.0,5180.0,990840,False
2020-12-14,5210.0,5240.0,5100.0,5150.0,860200,False
2020-12-15,5150.0,5180.0,5090.0,5150.0,960920,False
2020-12-16,5180.0,5490.0,5180.0,5490.0,2800110,False
2020-12-17,5420.0,5630.0,5400.0,5460.0,1071720,False
2020-12-18,5510.0,5690.0,5360.0,5660.0,1008440,False
2020-12-21,5630.0,5720.0,5460.0,5670.0,1565330,False
2020-12-22,5670.0,5670.0,5480.0,5510.0,1144810,False
2020-12-23,5510.0,5700.0,5460.0,5490.0,1091340,False
2020-12-24,5490.0,5520.0,5120.0,5270.0,1437470,False
2020-12-25,5270.0,5400.0,5210.0,5370.0,576470,False
2020-12-28,5450.0,5480.0,5240.0,5390.0,1102650,False
2020-12-29,5420.0,5420.0,5270.0,5340.0,667630,False
2020-12-30,5300.0,5450.0,5300.0,5340.0,720580,False
2020-12-31,5360.0,5420.0,5300.0,5390.0,541230,False
2021-01-04,5420.0,5660.0,5390.0,5580.0,1504800,False
2021-01-05,5600.0,5660.0,5490.0,5550.0,1179900,False
2021-01-06,5540.0,5570.0,5450.0,5460.0,893700,False
2021-01-07,5510.0,5840.0,5460.0,5840.0,2385500,False
2021-01-08,5990.0,5990.0,5690.0,5870.0,1115800,False
2021-01-11,5840.0,6030.0,5720.0,5900.0,1377100,False
2021-01-12,5900.0,6080.0,5760.0,6060.0,1460300,False
2021-01-13,6110.0,6380.0,6060.0,6140.0,1956200,False
2021-01-14,6260.0,6260.0,6050.0,6170.0,814900,False
2021-01-15,6230.0,6380.0,6180.0,6210.0,1015300,False
2021-01-18,6260.0,6270.0,6020.0,6090.0,1192700,False
2021-01-19,6090.0,6090.0,5670.0,5670.0,1566100,False
2021-01-20,5600.0,5630.0,5280.0,5570.0,1524300,False
2021-01-21,5510.0,5720.0,5360.0,5570.0,1320500,False
2021-01-22,5570.0,5660.0,5510.0,5550.0,1109100,False
2021-01-25,5550.0,5690.0,5420.0,5550.0,808300,False
2021-01-26,5550.0,5550.0,5210.0,5330.0,729300,False
2021-01-27,5240.0,5340.0,4970.0,5000.0,1248100,False
2021-01-28,4660.0,4660.0,4650.0,4650.0,1090900,False
2021-01-29,4330.0,4800.0,4330.0,4660.0,945400,False
2021-02-01,4750.0,4980.0,4720.0,4820.0,1449300,False
2021-02-02,4850.0,4890.0,4690.0,4850.0,490800,False
2021-02-03,4910.0,5180.0,4890.0,5180.0,1204300,False
2021-02-04,5420.0,5420.0,5180.0,5190.0,1033800,False
2021-02-05,5280.0,5370.0,5220.0,5360.0,513100,False
2021-02-08,5330.0,5360.0,5040.0,5090.0,880700,False
2021-02-09,5060.0,5340.0,5030.0,5280.0,825000,False
2021-02-17,5390.0,5630.0,5340.0,5610.0,1097100,False
2021-02-18,5640.0,5660.0,5510.0,5550.0,793100,False
2021-02-19,5510.0,5700.0,5420.0,5660.0,1623600,False
2021-02-22,5730.0,5990.0,5720.0,5870.0,1855900,False
2021-02-23,5960.0,5960.0,5840.0,5900.0,1089000,False
2021-02-24,5900.0,5960.0,5660.0,5720.0,1428500,False
2021-02-25,5750.0,6110.0,5640.0,6110.0,3641700,False
2021-02-26,6150.0,6530.0,6140.0,6530.0,2220000,False
2021-03-01,6920.0,6950.0,6700.0,6770.0,2345500,False
2021-03-02,6770.0,7220.0,6560.0,7210.0,3269200,False
2021-03-03,7210.0,7700.0,7100.0,7700.0,3065500,False
2021-03-04,7700.0,8070.0,7370.0,7460.0,2534400,False
2021-03-05,7340.0,7670.0,7160.0,7610.0,2295700,False
2021-03-08,7700.0,7790.0,7520.0,7630.0,1731900,False
2021-03-09,7520.0,7540.0,7340.0,7390.0,1274600,False
2021-03-10,7340.0,7490.0,7180.0,7280.0,1393800,False
2021-03-11,7520.0,7580.0,7370.0,7490.0,850200,False
2021-03-12,7580.0,7670.0,7430.0,7490.0,1256900,False
2021-03-15,7460.0,7510.0,7370.0,7400.0,783400,False
2021-03-16,7430.0,7730.0,7280.0,7550.0,1318800,False
2021-03-17,7640.0,7940.0,7630.0,7880.0,2847600,False
2021-03-18,7980.0,8050.000000000001,7730.0,7900.0,899000,False
2021-03-19,7820.0,7910.0,7670.0,7870.0,1121000,False
2021-03-22,7870.0,7870.0,7520.0,7600.0,1769300,False
2021-03-23,7610.0,7700.0,7370.0,7520.0,1296500,False
2021-03-24,7370.0,7490.0,7040.0,7160.0,875200,False
2021-03-25,7190.0,7250.0,6920.0,6980.0,1104800,False
2021-03-26,6860.0,7250.0,6650.0,7250.0,1134900,False
2021-03-29,7370.0,7580.0,7330.0,7450.0,859800,False
2021-03-30,7460.0,7630.0,7400.0,7520.0,806600,False
2021-03-31,7520.0,7520.0,7360.0,7490.0,723100,False
2021-04-01,7430.0,7460.0,7340.0,7430.0,534900,False
2021-04-02,7490.0,7550.0,7310.0,7420.0,1139800,False
2021-04-05,7430.0,7460.0,7310.0,7310.0,663000,False
2021-04-06,7310.0,7310.0,7070.0,7160.0,866500,False
2021-04-07,7120.0,7480.0,7100.0,7450.0,1541200,False
2021-04-08,7450.0,7490.0,7310.0,7390.0,571100,False
2021-04-09,7370.0,7390.0,7250.0,7330.0,547400,False
2021-04-12,7300.0,7720.0,7220.0,7660.0,2800500,False
2021-04-13,7670.0,7700.0,7340.0,7370.0,894900,False
2021-04-14,7370.0,7400.0,7220.0,7370.0,627800,False
2021-04-15,7310.0,7400.0,7220.0,7220.0,711600,False
2021-04-16,7100.0,7220.0,6890.0,6950.0,1059200,False
2021-04-19,7070.0,7160.0,6790.0,7150.0,653900,False
2021-04-20,7160.0,7390.0,7100.0,7150.0,886200,False
2021-04-22,7160.0,7250.0,6940.0,6940.0,934200,False
2021-04-23,6940.0,7120.0,6830.0,7090.0,880900,False
2021-04-26,7090.0,7100.0,6920.0,6940.0,478900,False
2021-04-27,6940.0,7190.0,6880.0,7190.0,634000,False
2021-04-28,7400.0,7690.0,7310.0,7690.0,1926900,False
2021-04-29,7850.0,8109.999999999999,7790.0,7820.0,1916100,False
2021-05-04,7670.0,7930.0,7610.0,7900.0,1827500,False
2021-05-05,7910.0,8189.999999999999,7820.0,8100.0,2806300,False
2021-05-06,8100.0,8100.0,7880.0,7880.0,1714400,False
2021-05-07,7820.0,7870.0,7610.0,7750.0,1631600,False
2021-05-10,7730.0,8290.0,7580.0,8290.0,2661600,False
2021-05-11,8290.0,8700.0,8280.0,8370.0,1591100,False
2021-05-12,8160.0,8500.0,8160.0,8430.0,1374900,False
2021-05-13,8340.0,8520.0,8280.0,8310.0,1103900,False
2021-05-14,8380.0,8380.0,8220.0,8220.0,1234200,False
2021-05-17,8280.0,8580.0,7980.0,8400.0,1747200,False
2021-05-18,8280.0,8580.0,8280.0,8400.0,1486600,False
2021-05-19,8400.0,8430.0,8250.0,8430.0,755700,False
2021-05-20,8430.0,8670.0,8400.0,8670.0,1980400,False
2021-05-21,8730.0,9030.0,8560.0,8610.0,1765900,False
2021-05-24,8610.0,8790.0,8460.0,8490.0,1064500,False
2021-05-25,8490.0,8640.0,8440.0,8490.0,1073400,False
2021-05-26,8430.0,8610.0,7900.0,8100.0,4012400,False
2021-05-27,8020.0,8280.0,7730.0,7960.0,2219600,False
2021-05-28,7980.0,8200.0,7930.0,8130.000000000001,843300,False
2021-05-31,8100.0,8100.0,7980.0,8010.0,1434600,False
2021-06-01,8010.0,8039.999999999999,7820.0,7870.0,1351700,False
2021-06-02,7870.0,8280.0,7820.0,8220.0,997000,False
2021-06-03,8280.0,8410.0,8280.0,8310.0,892800,False
2021-06-04,8310.0,8340.0,8080.0,8160.0,1032400,False
