time,open,high,low,close,volume,is_ipo
2020-12-14,7270.0,7330.0,7230.0,7280.0,3219050,False
2020-12-15,7280.0,7300.0,7170.0,7250.0,4717840,False
2020-12-16,7230.0,7330.0,7200.0,7300.0,4559460,False
2020-12-17,7300.0,7510.0,7200.0,7410.0,6299430,False
2020-12-18,7410.0,7720.0,7400.0,7720.0,9509510,False
2020-12-21,7820.0,8150.0,7820.0,8130.000000000001,6290050,False
2020-12-22,8150.0,8150.0,7920.0,8020.0,4163730,False
2020-12-23,7980.0,8020.0,7820.0,7820.0,6361130,False
2020-12-24,7820.0,7840.0,7330.0,7560.0,6630420,False
2020-12-25,7580.0,7850.0,7540.0,7820.0,5078510,False
2020-12-28,7890.0,7970.0,7670.0,7770.0,5670670,False
2020-12-29,7760.0,7790.0,7670.0,7710.0,3524870,False
2020-12-30,7710.0,7790.0,7690.0,7690.0,3005990,False
2020-12-31,7720.0,7800.0,7690.0,7740.0,2587530,False
2021-01-04,7870.0,7890.0,7790.0,7850.0,6829000,False
2021-01-05,7850.0,8109.999999999999,7850.0,8070.0,7231800,False
2021-01-06,8080.0,8510.0,8080.0,8360.0,11331100,False
2021-01-07,8470.0,8780.0,8460.0,8730.0,8328800,False
2021-01-08,8860.0,8960.0,8730.0,8830.0,6924700,False
2021-01-11,8860.0,8940.0,8640.0,8750.0,6768300,False
2021-01-12,8700.0,8770.0,8570.0,8720.0,5101900,False
2021-01-13,8730.0,8800.0,8700.0,8750.0,6388800,False
2021-01-14,8800.0,8800.0,8640.0,8730.0,3675000,False
2021-01-15,8800.0,9120.0,8780.0,9090.0,7103500,False
2021-01-18,9090.0,9090.0,8800.0,8880.0,5150200,False
2021-01-19,8800.0,8800.0,8260.0,8260.0,5782200,False
2021-01-20,8260.0,8420.0,7820.0,8310.0,6660300,False
2021-01-21,8370.0,8570.0,8150.0,8410.0,4714900,False
2021-01-22,8470.0,8620.0,8370.0,8510.0,2937200,False
2021-01-25,8510.0,8510.0,8310.0,8360.0,2373100,False
2021-01-26,8280.0,8280.0,7820.0,7980.0,3770100,False
2021-01-27,7840.0,8070.0,7490.0,7590.0,4373100,False
2021-01-28,7070.0,7270.0,7070.0,7070.0,4508900,False
2021-01-29,6580.0,7560.0,6580.0,7270.0,5395400,False
2021-02-01,7300.0,7540.0,7100.0,7230.0,3380300,False
2021-02-02,7230.0,7660.0,7150.0,7560.0,3057100,False
2021-02-03,7630.0,7850.0,7560.0,7820.0,4470000,False
2021-02-04,7820.0,7870.0,7610.0,7670.0,3323600,False
2021-02-05,7690.0,7850.0,7670.0,7850.0,3084000,False
2021-02-08,7820.0,7850.0,7450.0,7640.0,3918400,False
2021-02-09,7690.0,7850.0,7590.0,7850.0,3156000,False
2021-02-17,7920.0,8280.0,7850.0,8280.0,4203900,False
2021-02-18,8280.0,8410.0,8150.0,8310.0,4632300,False
2021-02-19,8180.0,8390.0,8109.999999999999,8330.0,4034000,False
2021-02-22,8330.0,8540.0,8330.0,8410.0,6535800,False
2021-02-23,8340.0,8550.0,8310.0,8460.0,4611000,False
2021-02-24,8470.0,8520.0,8210.0,8290.0,4438700,False
2021-02-25,8360.0,8370.0,8080.0,8310.0,4931000,False
2021-02-26,8150.0,8280.0,8130.000000000001,8200.0,4328500,False
2021-03-01,8240.0,8410.0,8240.0,8410.0,3271800,False
2021-03-02,8510.0,8800.0,8440.0,8700.0,8274900,False
2021-03-03,8720.0,8900.0,8640.0,8780.0,5701400,False
2021-03-04,8780.0,8800.0,8410.0,8540.0,4433800,False
2021-03-05,8540.0,8570.0,8340.0,8420.0,5045400,False
2021-03-08,8540.0,8570.0,8420.0,8460.0,2950800,False
2021-03-09,8420.0,8510.0,8230.0,8460.0,2548600,False
2021-03-10,8460.0,8540.0,8340.0,8510.0,2806700,False
2021-03-11,8640.0,8670.0,8510.0,8600.0,3621700,False
2021-03-12,8640.0,8750.0,8620.0,8680.0,4051500,False
2021-03-15,8680.0,8730.0,8650.0,8680.0,2840700,False
2021-03-16,8730.0,8770.0,8640.0,8730.0,4549400,False
2021-03-17,8770.0,8990.0,8770.0,8960.0,7798100,False
2021-03-18,9060.0,9060.0,8800.0,8960.0,7237000,False
2021-03-19,8900.0,8930.0,8780.0,8850.0,4935200,False
2021-03-22,8850.0,8850.0,8700.0,8780.0,3963200,False
2021-03-23,8780.0,8780.0,8570.0,8640.0,3947000,False
2021-03-24,8510.0,8570.0,8150.0,8310.0,5338200,False
2021-03-25,8340.0,8440.0,8280.0,8340.0,4130500,False
2021-03-26,8310.0,8460.0,8080.0,8390.0,4007600,False
2021-03-29,8470.0,8540.0,8370.0,8470.0,3149300,False
2021-03-30,8510.0,8590.0,8420.0,8540.0,4092000,False
2021-03-31,8650.0,8730.0,8570.0,8600.0,3883700,False
2021-04-01,8670.0,8770.0,8600.0,8730.0,3531500,False
2021-04-02,8810.0,8930.0,8800.0,8880.0,6221100,False
2021-04-05,9220.0,9220.0,8980.0,9010.0,5898700,False
2021-04-06,9010.0,9060.0,8860.0,8990.0,5343500,False
2021-04-07,9010.0,9060.0,8930.0,9040.0,4333600,False
2021-04-08,9120.0,9190.0,9090.0,9140.0,5669400,False
2021-04-09,9170.0,9170.0,9090.0,9120.0,3890400,False
2021-04-12,9160.0,9160.0,8800.0,9090.0,9500100,False
2021-04-13,9220.0,9220.0,8960.0,9010.0,5844900,False
2021-04-14,9010.0,9090.0,8910.0,9090.0,2954300,False
2021-04-15,9090.0,9090.0,8910.0,8910.0,4656800,False
2021-04-16,8860.0,8930.0,8640.0,8680.0,4639500,False
2021-04-19,8900.0,8900.0,8680.0,8900.0,3695000,False
2021-04-20,8980.0,8990.0,8810.0,8860.0,3470400,False
2021-04-22,8860.0,8860.0,8570.0,8570.0,4280300,False
2021-04-23,8570.0,8780.0,8470.0,8770.0,4256300,False
2021-04-26,8770.0,8830.0,8510.0,8640.0,3955800,False
