time,open,high,low,close,volume,is_ipo
2020-12-09,12040.0,12380.0,12040.0,12150.0,2854520,False
2020-12-10,12190.0,12300.0,11700.0,11810.0,3356410,False
2020-12-11,11810.0,11890.0,11620.0,11890.0,3805330,False
2020-12-14,11890.0,12080.0,11890.0,12040.0,2185130,False
2020-12-15,12000.0,12490.0,11960.0,12340.0,4945370,False
2020-12-16,12380.0,12450.0,12220.0,12380.0,2402530,False
2020-12-17,12900.0,13240.0,12600.0,13240.0,7312560,False
2020-12-18,13500.0,13500.0,13160.0,13350.0,5110620,False
2020-12-21,13420.0,14250.0,13280.0,14250.0,10021310,False
2020-12-22,14250.0,15220.0,14020.0,15220.0,10194230,False
2020-12-23,16090.0,16090.0,14320.0,14480.0,8239570,False
2020-12-24,15220.0,15490.0,14400.0,15490.0,13937880,False
2020-12-25,16350.000000000002,16540.0,16120.000000000002,16540.0,8868760,False
2020-12-28,17620.0,17660.0,17480.0,17660.0,9439470,False
2020-12-29,17250.0,18750.0,16910.0,17510.0,11973090,False
2020-12-30,17290.0,18260.0,16880.0,17250.0,9832560,False
2020-12-31,17400.0,18300.0,16990.0,18300.0,8521050,False
2021-01-04,19500.0,19580.0,18980.0,19580.0,6590800,False
2021-01-05,19880.0,20920.0,19880.0,20250.0,11967600,False
2021-01-06,20320.0,20780.0,19500.0,19650.0,10553700,False
2021-01-07,19880.0,20400.0,19650.0,20250.0,8000200,False
2021-01-08,20360.0,21600.0,19880.0,20620.0,9368600,False
2021-01-11,21080.0,21380.0,20320.0,21150.0,7499500,False
2021-01-12,21300.0,22460.0,21260.0,22390.0,7369000,False
2021-01-13,22580.0,23590.0,21900.0,23400.0,8616000,False
2021-01-14,23620.0,25010.0,23620.0,25010.0,9666300,False
2021-01-15,26480.0,26740.0,25540.0,25800.0,10564200,False
2021-01-18,26140.0,27600.0,25280.0,27600.0,8757000,False
2021-01-19,28800.0,29480.0,25690.0,27600.0,11627500,False
2021-01-20,28500.0,29100.0,25880.0,27900.0,11972000,False
2021-01-21,28500.0,29850.0,28200.0,29850.0,12757300,False
2021-01-22,31120.0,31910.0,30820.0,31910.0,7671300,False
2021-01-25,33750.0,34120.0,33000.0,34120.0,8166500,False
2021-01-26,31760.0,35250.0,31760.0,31910.0,17746000,False
2021-01-27,30820.0,31880.0,29700.0,29700.0,13479100,False
2021-01-28,27640.0,27640.0,27640.0,27640.0,938200,False
2021-01-29,25720.0,28880.0,25720.0,27640.0,23684100,False
2021-02-01,25720.0,27710.0,25720.0,25720.0,13514100,False
2021-02-02,24000.0,27520.0,23920.0,27520.0,14295200,False
2021-02-03,28120.0,29440.0,27900.0,29440.0,7049500,False
2021-02-04,29620.0,30750.0,28880.0,30110.0,9628700,False
2021-02-05,30110.0,30600.0,29620.0,30000.0,6679400,False
2021-02-08,29700.0,30080.0,27900.0,27900.0,10802200,False
2021-02-09,27900.0,29590.0,26250.0,28950.0,6590100,False
2021-02-17,30080.0,30980.0,29250.0,30980.0,4650600,False
2021-02-18,31500.0,32509.999999999996,31280.0,32250.0,6804800,False
2021-02-19,31350.0,32250.0,30900.0,31200.0,7407900,False
2021-02-22,31200.0,31500.0,29700.0,30680.0,6066600,False
2021-02-23,30680.0,30680.0,29850.0,30000.0,4975600,False
2021-02-24,30300.0,30520.0,29100.0,29250.0,4728700,False
2021-02-25,29700.0,29700.0,28540.0,29320.0,5575700,False
2021-02-26,28880.0,29400.0,28650.0,29250.0,2735100,False
2021-03-01,29550.0,29960.0,29180.0,29480.0,3284300,False
2021-03-02,30000.0,30000.0,29440.0,29440.0,4149800,False
2021-03-03,29440.0,29700.0,29020.0,29140.0,3621700,False
2021-03-04,29140.0,29250.0,27750.0,28090.0,5142500,False
2021-03-05,27680.0,28460.0,27000.0,28050.0,4065100,False
2021-03-08,28120.0,30000.0,27680.0,29780.0,7643700,False
2021-03-09,29620.0,29700.0,29100.0,29320.0,2884700,False
2021-03-10,29140.0,29290.0,28500.0,28800.0,1996100,False
2021-03-11,29550.0,29620.0,29100.0,29250.0,3388100,False
