time,open,high,low,close,volume,is_ipo
2021-07-19,14030.0,14030.0,11510.0,14030.0,3840600,True
2021-07-20,14750.0,15400.0,14030.0,15400.0,885600,True
2021-07-21,16550.0,16910.0,15830.0,16910.0,828292,True
2021-07-22,17050.0,17050.0,15250.0,15250.0,1051250,True
2021-07-23,13740.0,13880.0,13740.0,13740.0,194491,True
2021-07-26,12370.0,12370.0,12370.0,12370.0,83453,True
2021-07-27,11150.0,12370.0,11150.0,11730.0,2091191,True
2021-07-28,12230.0,12590.0,11510.0,11800.0,652900,True
2021-07-29,12880.0,12880.0,11510.0,11580.0,904570,True
2021-07-30,11870.0,11870.0,11150.0,11440.0,1187312,True
2021-08-02,12450.0,12450.0,11370.0,11800.0,827308,True
2021-08-03,11870.0,11870.0,11220.0,11510.0,1031814,True
2021-08-04,11580.0,11580.0,11150.0,11440.0,933668,True
2021-08-05,11220.0,11510.0,11150.0,11440.0,680918,True
2021-08-06,11510.0,11580.0,11150.0,11220.0,1107118,True
2021-08-09,11220.0,11440.0,10930.0,11290.0,913244,True
2021-08-10,11730.0,11730.0,10930.0,11150.0,789285,True
2021-08-11,11440.0,11440.0,10860.0,11080.0,783916,True
2021-08-12,11080.0,11220.0,10720.0,10790.0,924220,True
2021-08-13,11010.0,11010.0,10650.0,10930.0,826637,True
2021-08-16,11080.0,11080.0,10720.0,10930.0,800543,True
2021-08-17,10930.0,10930.0,10580.0,10720.0,861237,True
2021-08-18,10930.0,11080.0,10580.0,10790.0,634600,True
2021-08-19,10790.0,10930.0,10360.0,10580.0,835762,True
2021-08-20,10650.0,10650.0,9570.0,9780.0,1627580,True
2021-08-23,10720.0,10720.0,9570.0,10140.0,820900,True
2021-08-24,10290.0,10360.0,9860.0,10070.0,649153,True
2021-08-25,10360.0,10360.0,9710.0,10070.0,529696,True
2021-08-26,10070.0,10290.0,9930.0,10000.0,812643,True
2021-08-27,10290.0,10360.0,9780.0,10140.0,1029400,True
2021-09-06,10430.0,10500.0,10000.0,10290.0,1337700,True
2021-09-07,10290.0,10400.0,10000.0,10110.0,1184800,True
2021-09-08,10110.0,10140.0,9890.0,10000.0,1026600,True
2021-09-09,9930.0,10180.0,9710.0,9780.0,1150700,True
2021-09-10,9750.0,9780.0,9460.0,9570.0,1095100,True
2021-09-13,9570.0,10220.0,9390.0,10220.0,1290500,True
2021-09-14,10860.0,10900.0,10790.0,10900.0,1342000,True
2021-09-15,11080.0,11150.0,10430.0,10580.0,1346100,True
2021-09-16,10500.0,10790.0,10250.0,10610.0,1060100,True
2021-09-17,10610.0,11290.0,10430.0,10860.0,1195900,True
2021-09-20,10860.0,11290.0,10650.0,10930.0,1124600,True
2021-09-21,10580.0,11010.0,10400.0,10790.0,1081100,True
2021-09-22,11080.0,11150.0,10500.0,10860.0,1065400,True
2021-09-23,10930.0,11010.0,10540.0,10680.0,1250400,True
2021-09-24,10610.0,10830.0,10220.0,10430.0,1016000,True
2021-09-27,10400.0,10430.0,9820.0,9860.0,1194500,True
2021-09-28,9780.0,10000.0,9710.0,9890.0,1013200,True
2021-09-29,9890.0,9930.0,9640.0,9860.0,999400,True
2021-09-30,9890.0,10500.0,9780.0,10140.0,1013400,True
2021-10-01,10290.0,10360.0,9860.0,10000.0,856000,True
2021-10-04,10000.0,10070.0,9640.0,9930.0,1011600,True
2021-10-05,9930.0,10140.0,9780.0,10040.0,1139400,True
2021-10-06,10070.0,10290.0,9960.0,10110.0,1072500,True
2021-10-07,10180.0,10220.0,9930.0,10070.0,1059800,True
2021-10-08,10110.0,10110.0,9890.0,10000.0,1157200,True
2021-10-11,9930.0,10070.0,9890.0,9960.0,1065000,True
2021-10-12,9960.0,10000.0,9750.0,9860.0,1163000,True
2021-10-13,9820.0,9930.0,9750.0,9860.0,914900,True
2021-10-14,9890.0,10540.0,9750.0,10540.0,2009800,True
2021-10-15,10790.0,11040.0,10470.0,10650.0,1492300,True
2021-10-18,10580.0,10580.0,10180.0,10290.0,1082000,True
2021-10-19,10110.0,10430.0,9930.0,10220.0,1306800,True
2021-10-20,10290.0,10430.0,10000.0,10290.0,1086600,True
2021-10-21,10360.0,10500.0,10140.0,10430.0,908700,True
