time,open,high,low,close,volume,is_ipo
2020-12-14,79080.0,79360.0,78700.0,79080.0,53970,False
2020-12-15,79280.0,79280.0,76990.0,77150.0,116620,False
2020-12-16,77530.0,78660.0,77150.0,77180.0,29800,False
2020-12-17,77530.0,78310.0,71800.0,76760.0,206620,False
2020-12-18,76760.0,78310.0,76180.0,78230.0,105530,False
2020-12-21,78230.0,78270.0,77180.0,77530.0,47370,False
2020-12-22,77340.0,77420.0,76680.0,77340.0,81000,False
2020-12-23,77340.0,77530.0,76370.0,76370.0,94860,False
2020-12-24,76760.0,77340.0,75600.0,76760.0,71760,False
2020-12-25,76950.0,76950.0,75980.0,76760.0,44010,False
2020-12-28,76840.0,77180.0,76180.0,76410.0,111170,False
2020-12-29,76410.0,78310.0,76180.0,77490.0,80630,False
2020-12-30,77530.0,78230.0,77070.0,77530.0,97540,False
2020-12-31,77530.0,77800.0,75600.0,75600.0,146100,False
2021-01-04,76950.0,77920.0,75670.0,77300.0,159700,False
2021-01-05,77300.0,77380.0,76680.0,77150.0,123300,False
2021-01-06,76760.0,76990.0,75600.0,76950.0,164600,False
2021-01-07,76870.0,77150.0,76020.0,76680.0,129900,False
2021-01-08,76680.0,77490.0,76680.0,76840.0,152900,False
2021-01-11,77150.0,79470.0,76910.0,78430.0,170700,False
2021-01-12,79360.0,79860.0,78500.0,79670.0,192900,False
2021-01-13,80250.0,81800.0,79860.0,80290.0,226400,False
2021-01-14,81410.0,81410.0,79470.0,79470.0,155100,False
2021-01-15,79470.0,79630.0,77530.0,77730.0,229500,False
2021-01-18,77340.0,77690.0,76450.0,77690.0,136900,False
2021-01-19,77690.0,77690.0,72490.0,74820.0,134700,False
2021-01-20,74820.0,75480.0,73660.0,75480.0,226800,False
2021-01-21,75710.0,75710.0,74430.0,75210.0,165200,False
2021-01-22,75480.0,75480.0,74780.0,75210.0,131000,False
2021-01-25,75210.0,75830.0,74430.0,75210.0,144200,False
2021-01-26,75170.0,75170.0,72110.0,73660.0,227400,False
2021-01-27,72300.0,73620.0,70670.0,72420.0,227600,False
2021-01-28,69780.0,70250.0,67380.0,67380.0,284400,False
2021-01-29,65900.0,71250.0,62690.0,62690.0,508600,False
2021-02-01,67070.0,67070.0,67070.0,67070.0,109000,False
2021-02-02,69240.0,69780.0,68810.0,69390.0,459900,False
2021-02-03,69390.0,69780.0,69000.0,69390.0,240500,False
2021-02-04,69390.0,71720.0,69390.0,70590.0,296100,False
2021-02-05,70560.0,70630.0,70320.0,70520.0,112500,False
2021-02-08,71250.0,71250.0,66680.0,67450.0,141100,False
2021-02-09,67450.0,70130.0,67450.0,69860.0,129900,False
2021-02-17,69860.0,70560.0,69780.0,70320.0,162000,False
2021-02-18,70360.0,74630.0,70170.0,74630.0,195500,False
2021-02-19,74040.0,74630.0,73270.0,74320.0,150200,False
2021-02-22,72920.0,74200.0,72920.0,73660.0,101100,False
2021-02-23,73660.0,73660.0,71720.0,72110.0,224000,False
