time,prev_close,low,close,threshold_%,buy_price,profit_%,trade_pnl,cum_pnl
2021-04-15,52410.0,48870.0,48870.0,3.86,50385.0,-3.01,-3006981,-3006981
2021-04-23,52130.0,48780.0,52130.0,4.15,49965.0,4.33,4333588,1326607
2021-05-04,52130.0,49340.0,52130.0,4.18,49951.0,4.36,4363164,5689771
2021-05-10,51950.0,48320.0,51200.0,4.66,49531.0,3.37,3368925,9058696
2021-06-01,49340.0,45900.0,48970.0,4.18,47276.0,3.58,3583229,12641925
2021-06-02,48970.0,46550.0,48410.0,4.72,46660.0,3.75,3750069,16391994
2021-07-07,50180.0,47480.0,49990.0,4.16,48093.0,3.94,3943416,20335410
2021-07-12,49810.0,47010.0,47010.0,4.19,47724.0,-1.5,-1496605,18838805
2021-07-13,47010.0,44680.0,48690.0,4.79,44757.0,8.79,8786500,27625305
2021-07-14,48690.0,45290.0,45290.0,4.95,46279.0,-2.14,-2136750,25488555
2021-07-15,45290.0,42120.0,42120.0,5.19,42938.0,-1.9,-1904492,23584063
2021-07-16,42120.0,39190.0,40120.0,5.37,39860.0,0.65,653022,24237085
2021-07-19,40120.0,37890.0,37890.0,5.45,37933.0,-0.11,-112764,24124321
2021-09-21,43920.0,41430.0,42510.0,4.94,41750.0,1.82,1821430,25945751
2021-11-19,55680.0,53140.0,53610.0,4.15,53372.0,0.45,446830,26392581
2021-11-22,53610.0,50040.0,50690.0,4.16,51379.0,-1.34,-1340683,25051898
2021-12-03,49850.0,46370.0,46370.0,4.16,47774.0,-2.94,-2939452,22112446
2021-12-06,46370.0,44200.0,46090.0,4.18,44430.0,3.74,3735366,25847812
2021-12-20,64340.0,60650.0,64440.0,4.18,61649.0,4.53,4527775,30375587
2021-12-23,64720.0,61600.0,63870.0,4.3,61935.0,3.12,3123719,33499306
2021-12-24,63870.0,60270.0,62070.0,4.59,60941.0,1.85,1852075,35351381
2022-01-10,71550.0,66620.0,66620.0,4.59,68269.0,-2.42,-2415679,32935702
2022-01-12,71260.0,67280.0,75720.0,4.68,67925.0,11.48,11475547,44411249
2022-01-13,75720.0,70500.0,73820.0,4.81,72080.0,2.41,2413425,46824674
2022-01-14,73820.0,69270.0,72020.0,4.92,70190.0,2.61,2607454,49432128
2022-01-17,72020.0,67000.0,67000.0,4.95,68454.0,-2.12,-2123423,47308705
2022-01-18,67000.0,62540.0,64440.0,5.19,63520.0,1.45,1448073,48756778
2022-01-24,71360.0,67280.0,68230.0,5.36,67537.0,1.03,1026516,49783294
2022-01-25,68230.0,64440.0,72970.0,5.4,64547.0,13.05,13049551,62832845
2022-03-14,68610.0,64530.0,67000.0,5.04,65155.0,2.83,2831498,65664343
