time,prev_close,low,close,threshold_%,buy_price,profit_%,trade_pnl,cum_pnl
2025-12-23,47400.0,45850.0,46700.0,3.25,45858.0,1.84,1835243,1835243
2025-12-26,46450.0,44600.0,46450.0,3.3,44917.0,3.41,3412900,5248143
2026-01-15,52800.0,49950.0,51300.0,3.28,51068.0,0.45,454102,5702245
2026-01-21,51800.0,50000.0,52500.0,3.34,50070.0,4.85,4854067,10556312
2026-01-27,55600.0,53500.0,55000.0,3.4,53708.0,2.4,2404693,12961005
2026-02-06,55800.0,53600.0,54900.0,3.42,53890.0,1.87,1874088,14835093
2026-03-02,63500.0,61300.0,62400.0,3.41,61336.0,1.74,1735154,16570247
2026-03-04,61800.0,58000.0,62000.0,3.47,59658.0,3.93,3926371,20496618
2026-03-05,62000.0,58700.0,60000.0,3.51,59827.0,0.29,289450,20786068
2026-03-06,60000.0,55800.0,55800.0,3.78,57734.0,-3.35,-3349532,17436536
2026-03-09,55800.0,51900.0,51900.0,3.93,53609.0,-3.19,-3188339,14248197
2026-03-12,55600.0,52400.0,53100.0,3.97,53394.0,-0.55,-551554,13696643
2026-03-13,53100.0,49450.0,49450.0,4.04,50957.0,-2.96,-2957591,10739052
