time,prev_close,low,close,threshold_%,buy_price,profit_%,trade_pnl,cum_pnl
2021-04-16,131700.0,128200.0,129000.0,2.62,128252.0,0.58,583245,583245
2021-04-23,130400.0,126500.0,129500.0,2.66,126929.0,2.03,2025547,2608792
2021-04-26,129500.0,123500.0,127500.0,2.74,125957.0,1.22,1224664,3833456
2021-05-07,122000.0,118000.0,119500.0,2.83,118546.0,0.8,804884,4638340
2021-05-17,117900.0,114000.0,114000.0,2.96,114411.0,-0.36,-359635,4278705
2021-05-19,113000.0,109600.0,110000.0,3.0,109606.0,0.36,359359,4638064
2021-05-31,112000.0,107000.0,110000.0,3.01,108632.0,1.26,1259194,5897258
2021-06-01,110000.0,106000.0,106200.0,3.21,106468.0,-0.25,-251511,5645747
2021-06-09,117200.0,113300.0,115300.0,3.27,113373.0,1.7,1699404,7345151
2021-06-10,115300.0,111500.0,113800.0,3.28,111518.0,2.05,2046576,9391727
2021-07-12,118900.0,114400.0,120000.0,3.24,115052.0,4.3,4300728,13692455
2021-07-14,119900.0,111600.0,117000.0,3.27,115975.0,0.88,883835,14576290
2021-07-15,117000.0,109200.0,114800.0,3.29,113152.0,1.46,1456486,16032776
2021-07-19,115400.0,111000.0,114000.0,3.3,111591.0,2.16,2158683,18191459
2021-07-20,114000.0,110000.0,114500.0,3.31,110222.0,3.88,3881021,22072480
2021-10-21,135900.0,131800.0,131800.0,2.97,131867.0,-0.05,-51089,22021391
2021-11-03,132000.0,128000.0,129800.0,2.98,128068.0,1.35,1352705,23374096
2021-11-26,132000.0,128100.0,129500.0,2.89,128186.0,1.03,1025453,24399549
2021-11-29,129500.0,124500.0,125000.0,2.96,125669.0,-0.53,-532484,23867065
2021-12-01,122500.0,116800.0,120000.0,2.99,118841.0,0.98,975495,24842560
2022-01-24,122000.0,117300.0,120500.0,2.82,118559.0,1.64,1636986,26479546
2022-02-22,146000.0,141200.0,142800.0,2.77,141953.0,0.6,596979,27076525
2022-02-24,148200.0,143500.0,148000.0,2.83,144001.0,2.78,2777383,29853908
2022-02-28,145100.0,138600.0,140100.0,2.89,140907.0,-0.57,-572689,29281219
2022-03-07,139400.0,134000.0,134200.0,2.93,135315.0,-0.82,-824172,28457047
2022-03-21,148200.0,143000.0,143300.0,2.88,143929.0,-0.44,-437282,28019765
2022-04-21,142000.0,136500.0,136500.0,2.96,137799.0,-0.94,-942963,27076802
2022-04-25,138200.0,128600.0,131000.0,2.96,134109.0,-2.32,-2318491,24758311
2022-04-26,131000.0,124500.0,129000.0,2.96,127122.0,1.48,1476976,26235287
2022-04-27,129000.0,125000.0,129000.0,3.01,125118.0,3.1,3103048,29338335
2022-05-06,130800.0,126800.0,128000.0,3.02,126852.0,0.9,904901,30243236
2022-05-09,128000.0,122500.0,124000.0,3.02,124137.0,-0.11,-110059,30133177
2022-05-12,126500.0,121500.0,124800.0,3.03,122663.0,1.74,1742047,31875224
2022-05-18,128000.0,124000.0,125700.0,3.03,124118.0,1.27,1274876,33150100
2022-06-13,127700.0,123500.0,124900.0,2.88,124020.0,0.71,709466,33859566
2022-08-29,123000.0,119500.0,122000.0,2.78,119575.0,2.03,2028387,35887953
