Ticker,time,open,high,low,close,volume,is_ipo,sma_20,sma_50,rsi_14,roc_3,vol_sma_20,buy_only_0_sig,signal,regime,prev_regime,buy_only_1_sig,%_vol_increase,vol_boom,sell_only_0_sig,Return_3D_pct,Return_5D_pct,Return_10D_pct,Return_20D_pct
ACB,2022-01-24,15710.0,16370.000000000002,15710.0,16110.0,13185100,False,15680.5,15662.8,62.269742375305114,4.069767441860472,4985455.0,1,1,1,-1.0,1,164.47,True,1,1.6139044072005078,0.9931719428926132,-0.9931719428926132,-1.303538175046555
ACB,2023-05-23,14770.0,15010.0,14660.0,14860.0,21726379,False,14493.0,14474.2,66.4921864182363,1.3642564802182733,4545879.25,1,1,1,-1.0,1,377.94,True,1,-1.3458950201884252,-0.6056527590847914,2.9609690444145356,2.220726783310902
BID,2021-10-29,22960.0,23940.0,22900.0,23820.0,3730300,False,22750.0,22711.6,66.79359735724503,5.8666666666666645,1326250.0,1,1,1,-1.0,1,181.27,True,1,3.736356003358522,5.079764903442485,4.114189756507137,9.529806884970613
BVH,2021-08-31,48470.0,49770.0,48390.0,49340.0,2580900,False,46683.0,46481.4,64.84547848638078,8.368108939161,1058015.0,1,1,1,-1.0,1,143.94,True,1,-2.9793271179570326,-3.688690717470612,-4.398054316984192,2.452371301175517
BVH,2024-05-28,44530.0,45400.0,43960.0,45060.0,1529928,False,40080.0,39927.0,79.55016985368674,5.378858746492043,716563.5,1,1,1,-1.0,1,113.51,True,1,-4.571682201509099,-2.4411895250776743,-2.862849533954727,-4.682645361739903
FPT,2024-11-29,118130.0,123220.0,117790.0,122290.0,11617080,False,114773.0,114772.4,70.35019010743426,6.738238631404392,4686149.45,1,1,1,-1.0,1,147.9,True,1,0.13083653610270668,4.31760569138932,4.31760569138932,4.391201242947093
GAS,2021-06-16,58380.0,60130.0,58180.0,59740.0,2150100,False,55696.0,55628.0,63.90177659671771,5.6223479490806305,1033045.0,1,1,1,-1.0,1,108.13,True,1,1.2052226314027452,2.176096417810512,4.402410445262806,2.4941412788751256
GVR,2026-01-14,34300.0,36350.0,33700.0,36350.0,14095400,False,28077.5,27769.2,84.34833643832894,15.031645569620245,4607890.0,1,1,1,-1.0,1,205.9,True,1,4.53920220082531,5.914718019257221,5.089408528198074,-2.8885832187070153
HDB,2022-12-16,8530.0,8880.0,8530.0,8810.0,6013347,False,8108.5,8087.4,62.976093737652384,5.1312649164677815,2820142.7,1,1,1,-1.0,1,113.23,True,1,-2.9511918274687856,-1.70261066969353,-7.832009080590249,-2.383654937570942
HPG,2025-02-27,23170.0,23710.0,23000.0,23710.0,51151649,False,22206.5,22174.0,70.2271970773182,2.7296360485268734,24084573.4,1,1,1,-1.0,1,112.38,True,1,-2.108814846056516,-1.7714044706874739,-2.6571067060312106,-3.3319274567692956
MSN,2024-10-10,78000.0,80500.0,77900.0,80000.0,19870800,False,75435.0,75410.0,69.82578497387318,6.951871657754016,4833120.0,1,1,1,-1.0,1,311.14,True,1,1.0,1.25,-1.875,-8.375
POW,2024-05-28,10250.0,10370.0,10120.0,10290.0,25338987,False,9287.5,9269.8,74.87869421764043,7.748691099476446,9657339.95,1,1,1,-1.0,1,162.38,True,1,1.1661807580174928,12.439261418853254,13.60544217687075,20.505344995140913
SAB,2022-07-22,65500.0,67060.0,64310.0,66300.0,196400,False,62261.0,62239.6,69.1843450148263,5.859811591888864,76510.0,1,1,1,-1.0,1,156.7,True,1,1.0256410256410255,8.431372549019608,10.0,17.481146304675715
SHB,2023-04-03,6760.0,6980.0,6670.0,6980.0,63724014,False,6457.5,6436.4,68.24098232303007,3.714710252600306,20059000.5,1,1,1,-1.0,1,217.68,True,1,1.4326647564469914,7.163323782234957,5.444126074498568,-1.2893982808022924
SHB,2025-02-11,8100.0,8370.0,8100.0,8260.0,29843561,False,7926.5,7924.2,73.4924923461871,2.3543990086740907,10641147.0,1,1,1,-1.0,1,180.45,True,1,0.48426150121065376,1.8159806295399514,3.753026634382567,3.14769975786925
SSI,2026-01-14,32800.0,33550.0,32200.000000000004,33350.0,58600100,False,30755.0,30597.6,65.80513266740947,9.8846787479407,29213282.6,1,1,1,-1.0,1,100.59,True,1,-2.0989505247376314,-4.94752623688156,-7.19640179910045,-6.446776611694154
STB,2024-12-26,36450.0,37400.0,36350.0,37100.0,16442000,False,34040.0,33982.0,76.58964314162955,7.5362318840579645,8060905.0,1,1,1,-1.0,1,103.97,True,1,-0.5390835579514826,-2.6954177897574128,-5.121293800539084,-0.2695417789757413
TPB,2024-07-22,13610.0,13980.0,13540.0,13760.0,32705162,False,13137.5,13120.8,67.75588204569216,4.16351249053748,8483481.75,1,1,1,-1.0,1,285.52,True,1,-4.287790697674419,-2.688953488372093,-9.665697674418606,-5.886627906976744
TPB,2025-02-11,14870.0,15270.0,14870.0,15090.0,42527437,False,14464.5,14443.0,65.8888796609283,2.7229407760381186,9199152.55,1,1,1,-1.0,1,362.3,True,1,-0.5964214711729622,-0.5964214711729622,-0.26507620941020543,-4.3737574552683895
TPB,2026-02-23,17600.0,18050.0,17400.0,18000.0,34774400,False,17172.5,17149.0,61.83591698539145,3.746397694524495,8845820.0,1,1,1,-1.0,1,293.12,True,1,1.9444444444444444,-1.1111111111111112,-12.777777777777777,
VCB,2023-05-18,52240.0,53980.0,51840.0,53420.0,1680806,False,50884.0,50842.8,64.87482759445857,3.6074476338246786,628730.8,1,1,1,-1.0,1,167.33,True,1,-2.3212280044926996,-1.9093972295020591,-1.1606140022463498,8.947959565705728
VCB,2025-07-08,58380.0,59070.0,58180.0,58580.0,10404990,False,56693.5,56587.8,68.5883082322879,1.913709116214335,4740332.75,1,1,1,-1.0,1,119.5,True,1,6.264936838511437,4.0628200751109596,5.411403209286446,4.233526800955958
VJC,2021-08-23,119500.0,120300.0,118200.0,120300.0,1568100,False,117230.0,117080.0,63.293398584700114,1.9491525423728895,683455.0,1,1,1,-1.0,1,129.44,True,1,4.57190357439734,5.486284289276807,3.5743973399833746,2.493765586034913
VNM,2025-11-24,60100.0,63400.0,60100.0,63000.0,9900300,False,59270.0,59098.6,63.49984185842955,3.4482758620689724,4429399.15,1,1,1,-1.0,1,123.51,True,1,-1.5873015873015872,3.0158730158730274,0.7936507936507936,0.31746031746031744
VPB,2023-03-22,18060.0,18680.0,18020.0,18500.0,42042107,False,16231.5,16231.2,74.88905777043219,6.566820276497687,17832979.85,1,1,1,-1.0,1,135.75,True,1,1.1891891891891893,-0.48648648648648646,0.9729729729729729,-6.162162162162162
VRE,2023-03-30,29500.0,31250.0,29300.0,29900.0,7148508,False,28512.5,28442.0,61.99292418304974,2.0477815699658786,3091819.2,1,1,1,-1.0,1,131.21,True,1,-1.5050167224080269,-1.3377926421404682,-5.016722408026756,-9.698996655518394
VRE,2024-02-20,24750.0,25700.0,24700.0,25500.0,25154786,False,23170.0,23160.0,70.87412019664721,15.909090909090917,9225184.45,1,1,1,-1.0,1,172.68,True,1,-0.19607843137254902,3.5294117647058822,4.705882352941177,4.901960784313726
