Date,Signal_Date,Type,Symbol,Shares,Price,Value
2021-08-30,2021-08-27,BUY,TNG,18900,17180.0,324702000.0
2021-08-30,2021-08-27,BUY,PC1,20500,16490.0,338045000.0
2021-08-30,2021-08-27,BUY,NKG,14500,23940.0,347130000.0
2021-09-06,2021-09-03,SELL,TNG,18900,17790.0,336231000.0
2021-09-06,2021-09-03,SELL,PC1,20500,16800.0,344400000.0
2021-09-06,2021-09-03,SELL,NKG,14500,26070.0,378015000.0
2021-09-06,2021-09-03,BUY,VGS,14600,25670.0,374782000.0
2021-09-06,2021-09-03,BUY,BCM,7600,45620.0,346712000.0
2021-09-06,2021-09-03,BUY,VDS,20200,17660.0,356732000.0
2021-09-13,2021-09-10,SELL,VGS,14600,23550.0,343830000.0
2021-09-13,2021-09-10,SELL,BCM,7600,45620.0,346712000.0
2021-09-13,2021-09-10,SELL,VDS,20200,17260.0,348652000.0
2021-09-13,2021-09-10,BUY,VIX,45500,7300.0,332150000.0
2021-09-13,2021-09-10,BUY,CEO,48100,6920.0,332852000.0
2021-09-13,2021-09-10,BUY,HSG,9900,33550.0,332145000.0
2021-09-20,2021-09-17,SELL,VIX,45500,7300.0,332150000.0
2021-09-20,2021-09-17,SELL,CEO,48100,7260.0,349206000.0
2021-09-20,2021-09-17,SELL,HSG,9900,34470.0,341253000.0
2021-09-20,2021-09-17,BUY,DGC,6400,57190.0,366016000.0
2021-09-20,2021-09-17,BUY,FRT,16500,20630.0,340395000.0
2021-09-20,2021-09-17,BUY,KHG,32700,10930.0,357411000.0
2021-09-27,2021-09-24,SELL,DGC,6400,57470.0,367808000.0
2021-09-27,2021-09-24,SELL,FRT,16500,20170.0,332805000.0
2021-09-27,2021-09-24,SELL,KHG,32700,9860.0,322422000.0
2021-09-27,2021-09-24,BUY,DPG,11800,29000.0,342200000.0
2021-09-27,2021-09-24,BUY,OCB,28000,11590.0,324520000.0
2021-09-27,2021-09-24,BUY,VIB,22300,14340.0,319782000.0
2021-10-04,2021-10-01,SELL,DPG,11800,32750.0,386450000.0
2021-10-04,2021-10-01,SELL,OCB,28000,11270.0,315560000.0
2021-10-04,2021-10-01,SELL,VIB,22300,13060.0,291238000.0
2021-10-04,2021-10-01,BUY,DCM,15100,21910.0,330841000.0
2021-10-04,2021-10-01,BUY,GAS,4700,69740.0,327778000.0
2021-10-04,2021-10-01,BUY,BFC,12600,26060.0,328356000.0
2021-10-11,2021-10-08,SELL,DCM,15100,22760.0,343676000.0
2021-10-11,2021-10-08,SELL,GAS,4700,75450.0,354615000.0
2021-10-11,2021-10-08,SELL,BFC,12600,25190.0,317394000.0
2021-10-11,2021-10-08,BUY,BSI,15000,23300.0,349500000.0
2021-10-11,2021-10-08,BUY,TNG,18000,18380.0,330840000.0
2021-10-11,2021-10-08,BUY,HDC,8500,39450.0,335325000.0
2021-10-18,2021-10-15,SELL,BSI,15000,23890.0,358350000.0
2021-10-18,2021-10-15,SELL,TNG,18000,18730.0,337140000.0
2021-10-18,2021-10-15,SELL,HDC,8500,43860.0,372810000.0
2021-10-18,2021-10-15,BUY,DCM,14100,23990.0,338259000.0
2021-10-18,2021-10-15,BUY,DPM,21100,16410.0,346251000.0
2021-10-18,2021-10-15,BUY,VGS,12900,28890.0,372681000.0
2021-10-25,2021-10-22,SELL,DCM,14100,24300.0,342630000.0
2021-10-25,2021-10-22,SELL,DPM,21100,17810.0,375791000.0
2021-10-25,2021-10-22,SELL,VGS,12900,28000.0,361200000.0
2021-10-25,2021-10-22,BUY,NLG,9000,41970.0,377730000.0
2021-10-25,2021-10-22,BUY,VSC,24700,15070.0,372229000.0
2021-10-25,2021-10-22,BUY,NTL,24500,15450.0,378525000.0
2021-11-01,2021-10-29,SELL,NLG,9000,45240.0,407160000.0
2021-11-01,2021-10-29,SELL,VSC,24700,15960.0,394212000.0
2021-11-01,2021-10-29,SELL,NTL,24500,15920.0,390040000.0
2021-11-01,2021-10-29,BUY,DPG,7900,49530.0,391287000.0
2021-11-01,2021-10-29,BUY,KHG,30700,12950.0,397565000.0
2021-11-01,2021-10-29,BUY,BCM,7700,49000.0,377300000.0
2021-11-08,2021-11-05,SELL,DPG,7900,48960.0,386784000.0
2021-11-08,2021-11-05,SELL,KHG,30700,12090.0,371163000.0
2021-11-08,2021-11-05,SELL,BCM,7700,52670.0,405559000.0
2021-11-08,2021-11-05,BUY,VFS,27700,14320.0,396664000.0
2021-11-08,2021-11-05,BUY,BSI,12600,30850.0,388710000.0
2021-11-08,2021-11-05,BUY,VIX,38400,10730.0,412032000.0
2021-11-15,2021-11-12,SELL,VFS,27700,15350.0,425195000.0
2021-11-15,2021-11-12,SELL,BSI,12600,35100.0,442260000.0
2021-11-15,2021-11-12,SELL,VIX,38400,11860.0,455424000.0
2021-11-15,2021-11-12,BUY,CEO,30100,14790.0,445179000.0
2021-11-15,2021-11-12,BUY,HAG,53300,8150.0,434395000.0
2021-11-15,2021-11-12,BUY,C4G,34000,12930.0,439620000.0
2021-11-22,2021-11-19,SELL,CEO,6700,19940.0,133598000.0
2021-11-22,2021-11-19,SELL,HAG,53300,7450.0,397085000.0
2021-11-22,2021-11-19,SELL,C4G,34000,12210.0,415140000.0
2021-11-22,2021-11-19,BUY,GEX,11800,39130.0,461734000.0
2021-11-22,2021-11-19,BUY,VIX,38400,12290.0,471936000.0
2021-11-29,2021-11-26,SELL,CEO,4900,30520.0,149548000.0
2021-11-29,2021-11-26,SELL,GEX,11800,38030.0,448754000.0
2021-11-29,2021-11-26,SELL,VIX,38400,13770.0,528768000.0
2021-11-29,2021-11-26,BUY,DBC,19500,28320.0,552240000.0
2021-11-29,2021-11-26,BUY,VIB,30100,17150.0,516215000.0
2021-12-06,2021-12-03,SELL,CEO,18500,26590.0,491915000.0
2021-12-06,2021-12-03,SELL,DBC,19500,26330.0,513435000.0
2021-12-06,2021-12-03,SELL,VIB,30100,15950.0,480095000.0
2021-12-06,2021-12-03,BUY,HAG,60900,8630.0,525567000.0
2021-12-06,2021-12-03,BUY,FCN,26200,21830.0,571946000.0
2021-12-06,2021-12-03,BUY,C4G,34100,14440.0,492404000.0
2021-12-13,2021-12-10,SELL,HAG,7100,11250.0,79875000.0
2021-12-13,2021-12-10,SELL,FCN,26200,24640.0,645568000.0
2021-12-13,2021-12-10,SELL,C4G,34100,16149.999999999998,550714999.9999999
2021-12-13,2021-12-10,BUY,BAF,44100,13730.0,605493000.0
2021-12-13,2021-12-10,BUY,POW,42200,13390.0,565058000.0
2021-12-20,2021-12-17,SELL,HAG,53800,12750.0,685950000.0
2021-12-20,2021-12-17,SELL,BAF,3300,16420.0,54186000.0
2021-12-20,2021-12-17,SELL,POW,42200,15080.0,636376000.0
2021-12-20,2021-12-17,BUY,CEO,18700,37980.0,710226000.0
2021-12-20,2021-12-17,BUY,CII,24100,29870.0,719867000.0
2021-12-27,2021-12-24,SELL,BAF,40800,17070.0,696456000.0
2021-12-27,2021-12-24,SELL,CEO,18700,43270.0,809149000.0
2021-12-27,2021-12-24,SELL,CII,24100,32360.0,779876000.0
2021-12-27,2021-12-24,BUY,EIB,34900,21660.0,755934000.0
2021-12-27,2021-12-24,BUY,HAG,49800,14500.0,722100000.0
2021-12-27,2021-12-24,BUY,FRT,16400,44930.0,736852000.0
2022-01-04,2021-12-31,SELL,EIB,34900,22010.0,768149000.0
2022-01-04,2021-12-31,SELL,HAG,49800,13000.0,647400000.0
2022-01-04,2021-12-31,SELL,FRT,16400,43560.0,714384000.0
2022-01-04,2021-12-31,BUY,CEO,15500,52830.0,818865000.0
2022-01-04,2021-12-31,BUY,CII,20700,38490.0,796743000.0
2022-01-04,2021-12-31,BUY,CTS,32100,23910.0,767511000.0
2022-01-10,2022-01-07,SELL,CEO,2400,56500.0,135600000.0
2022-01-10,2022-01-07,SELL,CII,20700,41820.0,865674000.0
2022-01-10,2022-01-07,SELL,CTS,32100,22340.0,717114000.0
2022-01-10,2022-01-07,BUY,BAF,40100,20830.0,835283000.0
2022-01-10,2022-01-07,BUY,C4G,42200,19170.0,808974000.0
2022-01-17,2022-01-14,SELL,CEO,13100,43410.0,568671000.0
2022-01-17,2022-01-14,SELL,BAF,8200,22830.0,187206000.0
2022-01-17,2022-01-14,SELL,C4G,42200,17730.0,748206000.0
2022-01-17,2022-01-14,BUY,BID,22900,31660.0,725014000.0
2022-01-17,2022-01-14,BUY,STB,21000,32600.0,684600000.0
2022-01-24,2022-01-21,SELL,BAF,31900,20830.0,664477000.0
2022-01-24,2022-01-21,SELL,BID,1600,34020.0,54432000.0
2022-01-24,2022-01-21,SELL,STB,21000,33300.0,699300000.0
2022-01-24,2022-01-21,BUY,PVD,29200,24110.0,704012000.0
2022-01-24,2022-01-21,BUY,MBB,51100,14490.0,740439000.0
2022-02-07,2022-01-28,SELL,BID,21300,34380.0,732294000.0
2022-02-07,2022-01-28,SELL,PVD,29200,23110.0,674812000.0
2022-02-07,2022-01-28,SELL,MBB,51100,15260.0,779786000.0
2022-02-07,2022-01-28,BUY,LPB,58200,12110.0,704802000.0
2022-02-07,2022-01-28,BUY,EIB,29100,23340.0,679194000.0
2022-02-07,2022-01-28,BUY,SHB,58900,12340.0,726826000.0
2022-02-21,2022-02-18,SELL,LPB,58200,11520.0,670464000.0
2022-02-21,2022-02-18,SELL,EIB,29100,22920.0,666972000.0
2022-02-21,2022-02-18,SELL,SHB,58900,11920.0,702088000.0
2022-02-21,2022-02-18,BUY,CTR,7900,87000.0,687300000.0
2022-02-21,2022-02-18,BUY,CEO,14200,49920.0,708864000.0
2022-02-21,2022-02-18,BUY,CII,28500,25880.0,737580000.0
2022-02-28,2022-02-25,SELL,CTR,7900,65069.99999999999,514052999.99999994
2022-02-28,2022-02-25,SELL,CEO,14200,44560.0,632752000.0
2022-02-28,2022-02-25,SELL,CII,28500,24990.0,712215000.0
2022-02-28,2022-02-25,BUY,FRT,10500,56080.0,588840000.0
2022-02-28,2022-02-25,BUY,PVS,20600,30400.0,626240000.0
2022-02-28,2022-02-25,BUY,DXS,24100,24930.0,600813000.0
2022-03-07,2022-03-04,SELL,FRT,10500,59610.0,625905000.0
2022-03-07,2022-03-04,SELL,PVS,20600,33620.0,692572000.0
2022-03-07,2022-03-04,SELL,DXS,24100,24020.0,578882000.0
2022-03-07,2022-03-04,BUY,NKG,20000,31580.0,631600000.0
2022-03-07,2022-03-04,BUY,HAG,51500,12500.0,643750000.0
2022-03-07,2022-03-04,BUY,DCM,19700,33250.0,655025000.0
2022-03-14,2022-03-11,SELL,NKG,20000,29260.0,585200000.0
2022-03-14,2022-03-11,SELL,HAG,51500,11700.0,602550000.0
2022-03-14,2022-03-11,SELL,DCM,2000,33370.0,66740000.0
2022-03-14,2022-03-11,BUY,BFC,21000,28230.0,592830000.0
2022-03-14,2022-03-11,BUY,DPG,13700,46130.0,631981000.0
2022-03-21,2022-03-18,SELL,DCM,17700,32870.0,581799000.0
2022-03-21,2022-03-18,SELL,BFC,21000,27500.0,577500000.0
2022-03-21,2022-03-18,SELL,DPG,13700,46480.0,636776000.0
2022-03-21,2022-03-18,BUY,KHG,38100,16290.0,620649000.0
2022-03-21,2022-03-18,BUY,FCN,22900,26730.0,612117000.0
2022-03-21,2022-03-18,BUY,FRT,9000,67450.0,607050000.0
2022-03-28,2022-03-25,SELL,KHG,38100,15400.0,586740000.0
2022-03-28,2022-03-25,SELL,FCN,22900,25730.0,589217000.0
2022-03-28,2022-03-25,SELL,FRT,9000,70840.0,637560000.0
2022-03-28,2022-03-25,BUY,DGC,6800,91650.0,623220000.0
2022-03-28,2022-03-25,BUY,BFC,18300,34310.0,627873000.0
2022-03-28,2022-03-25,BUY,DPM,20300,29950.0,607985000.0
2022-04-04,2022-04-01,SELL,DGC,6800,86230.0,586364000.0
2022-04-04,2022-04-01,SELL,BFC,18300,31270.0,572241000.0
2022-04-04,2022-04-01,SELL,DPM,20300,26020.0,528206000.0
2022-04-04,2022-04-01,BUY,FPT,9800,55480.0,543704000.0
2022-04-04,2022-04-01,BUY,MWG,7400,74590.0,551966000.0
2022-04-04,2022-04-01,BUY,VNM,8500,65470.0,556495000.0
2022-04-12,2022-04-08,SELL,FPT,9800,55730.0,546154000.0
2022-04-12,2022-04-08,SELL,MWG,7400,73480.0,543752000.0
2022-04-12,2022-04-08,SELL,VNM,8500,61170.0,519945000.0
